frame,time_s,center_x,center_y,radius_px
117,1.17e-05,29.63888931274414,28.469696044921875,13.598692893981934
118,1.18e-05,29.59345817565918,28.3341121673584,13.898808479309082
119,1.19e-05,30.16666603088379,29.16666603088379,16.372501373291016
120,1.2e-05,30.04874610900879,29.445682525634766,18.135473251342773
121,1.21e-05,29.822580337524414,29.5,18.4555606842041
122,1.22e-05,29.468610763549805,29.3475341796875,17.258087158203125
123,1.23e-05,29.506223678588867,29.27800750732422,14.780986785888672
124,1.24e-05,29.513275146484375,29.159292221069336,13.392291069030762
125,1.25e-05,29.647388458251953,29.03731346130371,14.696745872497559
126,1.26e-05,29.553192138671875,29.340425491333008,16.934785842895508
127,1.27e-05,29.92685317993164,29.47995948791504,18.261594772338867
128,1.28e-05,29.70153045654297,29.45280647277832,18.16623306274414
129,1.29e-05,29.5,29.078947067260742,16.311006546020508
130,1.3e-05,29.5,29.0,14.080227851867676
131,1.31e-05,29.617647171020508,29.08823585510254,13.518318176269531
132,1.32e-05,29.7608699798584,28.89130401611328,15.55307674407959
133,1.33e-05,28.96938705444336,28.581632614135742,17.52944564819336
134,1.34e-05,29.434425354003906,28.598360061645508,18.457561492919922
135,1.35e-05,29.625,28.625,17.749217987060547
136,1.36e-05,29.769229888916016,28.27692222595215,15.624759674072266
137,1.37e-05,29.842788696289062,29.024822235107422,13.489500045776367
138,1.38e-05,29.899999618530273,28.899999618530273,14.057838439941406
139,1.39e-05,29.555328369140625,29.19672203063965,16.174442291259766
140,1.4e-05,29.518159866333008,29.709444046020508,18.055618286132812
141,1.41e-05,29.368494033813477,29.669862747192383,18.380802154541016
142,1.42e-05,28.90793228149414,29.483003616333008,17.276500701904297
143,1.43e-05,28.920289993286133,30.30434799194336,14.842181205749512
144,1.44e-05,29.095745086669922,30.308509826660156,13.321738243103027
145,1.45e-05,28.83333396911621,30.16666603088379,14.766803741455078
146,1.46e-05,29.41216278076172,30.317567825317383,17.06121063232422
147,1.47e-05,29.689655303955078,30.086206436157227,18.349212646484375
148,1.48e-05,29.735294342041016,30.264705657958984,18.065961837768555
149,1.49e-05,29.295454025268555,29.363636016845703,16.299610137939453
150,1.5e-05,29.527027130126953,29.2297306060791,13.990666389465332
151,1.51e-05,29.56214714050293,29.138418197631836,13.981791496276855
152,1.52e-05,30.0,29.33333396911621,16.055559158325195
153,1.53e-05,29.774335861206055,29.72123908996582,17.56276512145996
154,1.54e-05,29.633451461791992,29.692171096801758,17.681983947753906
155,1.55e-05,29.11688232421875,29.623376846313477,16.54244041442871
156,1.56e-05,29.391393661499023,29.479507446289062,15.072530746459961
157,1.57e-05,30.304597854614258,29.379310607910156,14.886871337890625
158,1.58e-05,30.0,29.86842155456543,15.770373344421387
159,1.59e-05,30.063291549682617,29.602848052978516,17.012483596801758
160,1.6e-05,30.0729923248291,29.722627639770508,17.288818359375
161,1.61e-05,29.545562744140625,29.564748764038086,16.507863998413086
162,1.62e-05,29.968355178833008,29.559072494506836,15.882620811462402
163,1.63e-05,30.11431884765625,29.592378616333008,15.578079223632812
164,1.64e-05,29.993610382080078,29.562299728393555,16.06983184814453
165,1.65e-05,30.110759735107422,29.6645565032959,16.735136032104492
166,1.66e-05,30.0,29.647058486938477,16.836889266967773
167,1.67e-05,30.0,29.5,16.37843894958496
168,1.68e-05,29.94622802734375,29.5963077545166,16.115121841430664
169,1.69e-05,30.05172348022461,29.5,16.14313316345215
170,1.7e-05,30.02941131591797,29.426469802856445,16.3656063079834
171,1.71e-05,30.035715103149414,29.5,16.738672256469727
172,1.72e-05,30.043140411376953,29.430692672729492,16.701082229614258
